Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Honda City,2011,8.25,28.29,108694,CNG,Individual,Manual,0
Toyota Fortuner,2015,9.53,17.16,131324,CNG,Individual,Manual,1
Maruti Baleno,2010,0.78,2.03,108355,Petrol,Dealer,Automatic,1
Toyota Fortuner,2021,10.25,19.32,89478,Diesel,Individual,Automatic,3
Honda City,2019,8.06,22.41,72435,CNG,Individual,Automatic,0
Volkswagen Polo,2011,3.17,7.63,216110,Diesel,Individual,Manual,3
Mahindra XUV500,2013,1.1,2.53,129243,CNG,Individual,Manual,3
Tata Nexon,2007,9.61,32.01,228139,Diesel,Individual,Automatic,1
Toyota Fortuner,2014,12.62,20.73,14692,CNG,Individual,Automatic,3
Mahindra Scorpio,2008,9.95,21.73,16534,Diesel,Dealer,Automatic,0
Maruti Baleno,2020,12.68,26.66,87798,Petrol,Individual,Automatic,0
Maruti Swift,2017,3.21,6.65,56214,Petrol,Dealer,Manual,2
Maruti Swift,2016,6.79,11.69,184262,CNG,Dealer,Manual,3
Hyundai i20,2009,12.75,32.57,69505,Petrol,Individual,Manual,0
Tata Nexon,2005,1.23,4.1,40222,Diesel,Individual,Manual,2
Kia Seltos,2007,6.55,17.58,118252,CNG,Individual,Manual,0
Honda City,2018,9.3,18.3,124176,CNG,Dealer,Automatic,1
Skoda Rapid,2011,6.53,17.69,190340,Diesel,Dealer,Manual,2
Hyundai Verna,2008,14.89,33.11,217806,CNG,Dealer,Automatic,3
Maruti Baleno,2010,7.96,17.07,248307,Diesel,Individual,Manual,3
Renault Kwid,2011,15.76,31.93,166152,Petrol,Dealer,Automatic,0
Volkswagen Polo,2007,0.82,2.23,26959,CNG,Dealer,Automatic,0
Maruti Swift,2016,5.75,10.06,78530,Diesel,Individual,Automatic,3
Maruti Swift,2021,5.2,10.38,219283,Diesel,Dealer,Automatic,2
Maruti Swift,2021,5.3,10.8,230281,Diesel,Individual,Automatic,2
Kia Seltos,2005,2.97,9.91,223164,Diesel,Individual,Automatic,3
Tata Nexon,2015,7.42,14.2,148760,CNG,Individual,Automatic,0
Hyundai Verna,2015,10.42,28.94,27671,Petrol,Dealer,Automatic,2
Kia Seltos,2007,5.41,21.5,61250,CNG,Individual,Manual,2
Renault Kwid,2013,12.26,24.8,76295,CNG,Individual,Automatic,0
Renault Kwid,2022,14.9,32.51,90981,Diesel,Dealer,Manual,3
Kia Seltos,2021,7.64,9.98,108727,Diesel,Individual,Manual,0
Ford EcoSport,2013,5.93,11.2,178714,CNG,Individual,Automatic,1
Toyota Fortuner,2015,9.71,32.88,10539,Diesel,Individual,Automatic,1
Hyundai Verna,2007,10.44,34.13,204569,Diesel,Individual,Automatic,1
Ford EcoSport,2013,4.05,7.81,43467,Petrol,Individual,Manual,3
Kia Seltos,2011,9.19,25.79,75271,Petrol,Individual,Automatic,2
Hyundai i20,2018,12.6,21.47,52333,Petrol,Dealer,Automatic,3
Toyota Corolla,2005,5.88,21.04,112455,Petrol,Dealer,Automatic,0
Mahindra Scorpio,2007,11.76,27.36,110983,Petrol,Individual,Automatic,1
Mahindra XUV500,2010,5.58,14.22,68208,Petrol,Individual,Manual,0
Honda City,2007,13.9,34.35,129019,CNG,Dealer,Manual,3
Mahindra XUV500,2022,8.59,20.37,159165,Diesel,Dealer,Automatic,1
Skoda Rapid,2006,3.58,10.39,15729,Diesel,Individual,Manual,3
Hyundai Verna,2020,14.85,20.24,10801,CNG,Individual,Manual,1
Maruti Baleno,2011,9.03,18.55,75316,Petrol,Individual,Automatic,1
Honda City,2023,9.39,13.15,149475,Diesel,Individual,Automatic,2
Ford EcoSport,2021,1.66,3.23,132813,CNG,Individual,Manual,3
Honda City,2016,15.58,33.85,223214,Diesel,Dealer,Automatic,3
Ford EcoSport,2012,6.99,25.96,99476,Diesel,Individual,Automatic,1
Mahindra XUV500,2023,7.04,16.49,117566,Diesel,Dealer,Automatic,0
Toyota Fortuner,2013,8.7,24.72,121352,Diesel,Individual,Manual,2
Mahindra XUV500,2020,5.43,8.03,192628,Petrol,Dealer,Automatic,0
Tata Nexon,2009,5.85,22.19,195710,CNG,Individual,Automatic,3
Maruti Baleno,2018,3.1,5.03,180150,Petrol,Individual,Automatic,1
Mahindra Scorpio,2020,2.91,5.23,171319,Petrol,Dealer,Automatic,0
Volkswagen Polo,2014,16.63,33.32,102379,Diesel,Individual,Manual,1
Skoda Rapid,2005,5.9,19.8,21364,CNG,Individual,Manual,3
Maruti Baleno,2016,9.12,14.81,171267,Petrol,Dealer,Manual,2
Mahindra XUV500,2007,6.19,29.07,247855,Diesel,Dealer,Automatic,0
Hyundai Verna,2018,1.55,2.6,97658,Diesel,Dealer,Manual,0
Hyundai i20,2014,1.45,2.77,70953,CNG,Dealer,Manual,3
Mahindra Scorpio,2017,17.52,32.91,12543,Petrol,Dealer,Manual,0
Ford EcoSport,2013,7.3,20.76,119352,CNG,Individual,Automatic,1
Maruti Swift,2009,2.45,9.87,156222,Petrol,Dealer,Manual,2
Toyota Corolla,2021,7.65,18.67,183031,Petrol,Individual,Manual,2
Toyota Corolla,2016,18.87,33.63,160538,Petrol,Dealer,Automatic,1
Skoda Rapid,2023,10.0,18.27,144407,Petrol,Dealer,Manual,3
Kia Seltos,2008,11.18,33.22,202775,Petrol,Dealer,Manual,0
Mahindra XUV500,2018,12.43,20.13,14348,CNG,Dealer,Manual,2
Ford EcoSport,2016,11.51,24.7,218945,Petrol,Dealer,Automatic,2
Honda City,2014,4.67,15.09,224930,Diesel,Individual,Manual,0
Hyundai Verna,2012,7.84,14.35,162504,Diesel,Individual,Manual,2
Skoda Rapid,2008,4.79,13.56,225411,CNG,Dealer,Manual,3
Toyota Fortuner,2014,13.46,31.91,230318,Diesel,Dealer,Manual,0
Renault Kwid,2012,1.95,5.88,178416,CNG,Dealer,Manual,0
Hyundai Verna,2021,1.75,4.74,218920,Diesel,Dealer,Automatic,1
Honda City,2019,14.06,31.41,229117,Petrol,Dealer,Automatic,0
Tata Nexon,2022,5.03,7.49,57528,Diesel,Dealer,Manual,0
Tata Nexon,2007,6.67,31.74,160576,CNG,Individual,Automatic,3
Maruti Baleno,2016,2.49,5.52,124156,Diesel,Individual,Automatic,1
Maruti Swift,2022,7.59,10.78,239340,Petrol,Individual,Automatic,2
Honda City,2013,3.82,12.21,62043,Petrol,Individual,Automatic,0
Toyota Fortuner,2010,8.53,33.34,54407,Petrol,Dealer,Manual,1
Mahindra XUV500,2022,15.29,20.2,173964,CNG,Individual,Manual,1
Hyundai Verna,2021,10.78,14.43,28833,CNG,Dealer,Automatic,2
Maruti Baleno,2005,3.29,17.47,110570,CNG,Dealer,Manual,3
Mahindra Scorpio,2021,14.01,19.63,145932,Diesel,Dealer,Manual,2
Hyundai Verna,2014,11.05,30.04,149528,Petrol,Individual,Manual,1
Ford EcoSport,2017,4.04,8.84,206152,Petrol,Individual,Automatic,1
Maruti Swift,2011,8.16,24.16,194089,Diesel,Individual,Manual,2
Kia Seltos,2016,9.98,20.51,29285,CNG,Dealer,Manual,3
Maruti Baleno,2019,11.1,27.89,82709,Diesel,Dealer,Manual,2
Hyundai i20,2006,2.78,13.57,60393,Diesel,Individual,Manual,2
Hyundai Verna,2010,7.33,16.88,47318,Diesel,Dealer,Automatic,2
Hyundai i20,2008,5.62,17.16,221464,Diesel,Dealer,Automatic,3
Mahindra XUV500,2010,6.05,18.26,74836,Diesel,Dealer,Manual,3
Hyundai i20,2020,4.06,7.01,147709,Petrol,Dealer,Automatic,2
Tata Nexon,2023,1.35,3.35,223116,Diesel,Individual,Automatic,0
Hyundai Verna,2005,5.5,19.64,152979,Diesel,Individual,Automatic,0
Mahindra XUV500,2013,2.83,5.05,27574,Petrol,Individual,Manual,3
Mahindra XUV500,2020,1.74,4.02,100257,Petrol,Individual,Manual,2
